phase,config_id,algo,seed,env_steps,eval_return_iqm,eval_return_mean,success_rate,collision_rate,mean_ep_len,wait_freq,sr_kitchen,sr_bedroom,sr_bathroom,len_kitchen,len_bedroom,len_bathroom,sample_eff_steps_90,n_eval_episodes,wandb_run_name
p1,dqn_exp4,dqn,0,200000,27.622222,27.453333,1.0,0.0,13.733333,0.0,1.0,1.0,1.0,11.0,12.0,22.0,30000,15,dqn_dqn_exp4_seed0
p1,dqn_exp4,dqn,1,200000,-16.222222,-8.013333,0.2,0.0,124.4,0.195556,0.0,0.0,1.0,150.0,150.0,22.0,-1,15,dqn_dqn_exp4_seed1
p1,dqn_exp4,dqn,2,200000,27.777778,27.746667,1.0,0.0,14.266667,0.0,1.0,1.0,1.0,12.0,11.0,26.0,20000,15,dqn_dqn_exp4_seed2
p1,dqn_exp4,dqn,3,200000,28.466667,28.36,1.0,0.0,15.533333,0.0,1.0,1.0,1.0,11.0,15.0,23.0,20000,15,dqn_dqn_exp4_seed3
p1,dqn_exp4,dqn,4,200000,22.755556,15.813333,0.733333,0.0,50.266667,0.0,0.0,1.0,1.0,150.0,11.0,22.0,150000,15,dqn_dqn_exp4_seed4
p1,dqn_exp4,dqn,5,200000,27.8,27.56,1.0,0.0,13.2,0.0,1.0,1.0,1.0,11.0,11.0,22.0,10000,15,dqn_dqn_exp4_seed5
p1,dqn_exp4,dqn,6,200000,27.8,19.24,0.8,0.0,38.8,0.113333,1.0,1.0,0.0,11.0,11.0,150.0,135000,15,dqn_dqn_exp4_seed6
p1,dqn_exp4,dqn,7,200000,27.8,28.0,1.0,0.0,14.0,0.0,1.0,1.0,1.0,11.0,11.0,26.0,140000,15,dqn_dqn_exp4_seed7
p1,dqn_exp4,dqn,8,200000,2.511111,3.666667,0.466667,0.0,87.333333,0.0,1.0,0.0,1.0,11.0,150.0,22.0,20000,15,dqn_dqn_exp4_seed8
p1,dqn_exp4,dqn,9,200000,27.8,27.56,1.0,0.0,14.2,0.0,1.0,1.0,1.0,11.0,11.0,27.0,20000,15,dqn_dqn_exp4_seed9
