phase,config_id,algo,seed,env_steps,eval_return_iqm,eval_return_mean,success_rate,collision_rate,mean_ep_len,wait_freq,sr_kitchen,sr_bedroom,sr_bathroom,len_kitchen,len_bedroom,len_bathroom,sample_eff_steps_90,n_eval_episodes,wandb_run_name
p2,p2_flicker08_500k_sym,ppo,0,501760,15.7,11.38,0.6,0.2,42.666667,0.098035,0.0,1.0,0.333333,122.0,11.0,21.333333,60000,15,ppo_p2_flicker08_500k_sym_seed0
p2,p2_flicker08_500k_sym,ppo,1,501760,17.955556,12.733333,0.666667,0.066667,51.333333,0.052564,0.0,1.0,0.666667,150.0,11.0,27.333333,240000,15,ppo_p2_flicker08_500k_sym_seed1
p2,p2_flicker08_500k_sym,ppo,2,501760,0.222222,2.093333,0.466667,0.0,91.533333,0.072721,1.0,0.0,1.0,11.0,150.0,43.0,360000,15,ppo_p2_flicker08_500k_sym_seed2
p2,p2_flicker08_500k_sym,ppo,3,501760,20.644444,14.346667,0.733333,0.0,54.266667,0.001333,0.0,1.0,1.0,150.0,11.0,42.0,320000,15,ppo_p2_flicker08_500k_sym_seed3
p2,p2_flicker08_500k_sym,ppo,4,501760,25.555556,25.16,1.0,0.0,25.866667,0.407362,1.0,1.0,1.0,27.0,18.875,43.0,260000,15,ppo_p2_flicker08_500k_sym_seed4
p2,p2_flicker08_500k_sym,ppo,5,501760,21.733333,15.066667,0.733333,0.066667,46.066667,0.023475,0.0,1.0,1.0,118.0,11.0,43.666667,60000,15,ppo_p2_flicker08_500k_sym_seed5
p2,p2_flicker08_500k_sym,ppo,6,501480,0.244444,2.106667,0.466667,0.0,91.466667,0.073384,1.0,0.0,1.0,11.0,150.0,42.666667,445000,15,ppo_p2_flicker08_500k_sym_seed6
p2,p2_flicker08_500k_sym,ppo,7,501760,18.511111,13.293333,0.666667,0.133333,46.133333,0.038222,1.0,0.5,0.666667,14.0,68.0,30.666667,60000,15,ppo_p2_flicker08_500k_sym_seed7
p2,p2_flicker08_500k_sym,ppo,8,501760,17.755556,12.613333,0.666667,0.066667,51.933333,0.025754,0.0,1.0,0.666667,150.0,11.0,30.333333,320000,15,ppo_p2_flicker08_500k_sym_seed8
p2,p2_flicker08_500k_sym,ppo,9,501760,25.133333,24.893333,1.0,0.0,27.2,0.414634,1.0,1.0,1.0,33.5,18.75,41.333333,280000,15,ppo_p2_flicker08_500k_sym_seed9
