arch,q,seed,test_acc
cnn,0.0,0,97.85
cnn,0.0,1,97.5
cnn,0.0,2,97.95
cnn,0.0,3,97.69
cnn,0.0,4,97.98
cnn,0.0,5,98.29
cnn,0.0,6,98.08
cnn,0.0,7,98.01
cnn,0.0,8,98.36
cnn,0.0,9,98.01
cnn,0.25,0,97.14
cnn,0.25,1,97.33
cnn,0.25,2,96.97
cnn,0.25,3,97.25
cnn,0.25,4,97.49
cnn,0.25,5,97.37
cnn,0.25,6,97.49
cnn,0.25,7,97.3
cnn,0.25,8,97.62
cnn,0.25,9,96.92
cnn,0.5,0,96.1
cnn,0.5,1,96.17
cnn,0.5,2,96.42
cnn,0.5,3,96.35
cnn,0.5,4,95.88
cnn,0.5,5,96.39
cnn,0.5,6,96.16
cnn,0.5,7,96.59
cnn,0.5,8,96.8
cnn,0.5,9,96.15
cnn,0.75,0,93.65
cnn,0.75,1,93.82
cnn,0.75,2,93.76
cnn,0.75,3,93.61
cnn,0.75,4,92.87
cnn,0.75,5,93.04
cnn,0.75,6,93.09
cnn,0.75,7,94.0
cnn,0.75,8,94.51
cnn,0.75,9,93.6
cnn,1.0,0,93.27
cnn,1.0,1,93.02
cnn,1.0,2,93.82
cnn,1.0,3,92.92
cnn,1.0,4,92.97
cnn,1.0,5,92.81
cnn,1.0,6,92.77
cnn,1.0,7,93.51
cnn,1.0,8,93.54
cnn,1.0,9,93.38
mlp,0.0,0,95.53
mlp,0.0,1,95.66
mlp,0.0,2,95.87
mlp,0.0,3,95.83
mlp,0.0,4,95.9
mlp,0.0,5,95.99
mlp,0.0,6,95.76
mlp,0.0,7,95.76
mlp,0.0,8,95.9
mlp,0.0,9,95.85
mlp,0.25,0,95.47
mlp,0.25,1,95.56
mlp,0.25,2,95.47
mlp,0.25,3,95.65
mlp,0.25,4,96.18
mlp,0.25,5,95.85
mlp,0.25,6,95.54
mlp,0.25,7,95.63
mlp,0.25,8,95.87
mlp,0.25,9,95.74
mlp,0.5,0,95.5
mlp,0.5,1,95.48
mlp,0.5,2,95.76
mlp,0.5,3,95.69
mlp,0.5,4,96.16
mlp,0.5,5,95.64
mlp,0.5,6,95.65
mlp,0.5,7,95.82
mlp,0.5,8,95.96
mlp,0.5,9,95.55
mlp,0.75,0,95.67
mlp,0.75,1,95.82
mlp,0.75,2,95.75
mlp,0.75,3,95.83
mlp,0.75,4,95.78
mlp,0.75,5,95.91
mlp,0.75,6,95.64
mlp,0.75,7,95.51
mlp,0.75,8,95.77
mlp,0.75,9,95.97
mlp,1.0,0,95.56
mlp,1.0,1,95.76
mlp,1.0,2,95.59
mlp,1.0,3,95.63
mlp,1.0,4,95.88
mlp,1.0,5,95.68
mlp,1.0,6,95.53
mlp,1.0,7,95.65
mlp,1.0,8,95.99
mlp,1.0,9,95.87
